RptDt;TckrSymb;SctyId;SctySrc;MktIdrCd;FrstPric;MinPric;MaxPric;LastPric;OscnPctg;IndxVal;TradAvrgPric;PrvsDayClsgPric;DataSts
2023-06-12;AGRI;200000863486;8;BVMF;46.94;46.85;47.35;47.26;0.007;47.26;47.07;46.93;I
2023-06-12;ALSO;200001037160;8;BVMF;10.73;10.68;10.85;10.83;0.014;10.83;10.75;10.68;I
2023-06-12;BBOV;200000480996;8;BVMF;60.52;60.36;60.88;60.68;0.0028;60.68;60.64;60.51;I
2023-06-12;BBSD;10026185;8;BVMF;95.06;94.62;95.6;95.47;0.0049;95.47;95.27;95;I
2023-06-12;BCIC;200001070068;8;BVMF;115.73;115.51;116.45;116.18;0.0039;116.18;116.15;115.72;I
2023-06-12;BDEF;200001070193;8;BVMF;113.62;113.32;114.91;114.56;0.0084;114.56;114.3;113.6;I
2023-06-12;BDOM;200000952526;8;BVMF;102.19;102.19;103.31;103.06;0.0085;103.06;102.86;102.19;I
2023-06-12;BMMT;200001070019;8;BVMF;101.19;100.82;101.63;101.5;0.0031;101.5;101.31;101.18;I
2023-06-12;BOVA;200001030806;8;BVMF;113.28;112.98;113.95;113.58;0.003;113.58;113.52;113.24;I
2023-06-12;BOVB;200000295865;8;BVMF;118.15;117.83;118.87;118.47;0.0027;118.47;118.41;118.15;I
2023-06-12;BOVS;200000744173;8;BVMF;90.09;89.85;90.63;90.33;0.0027;90.33;90.28;90.08;I
2023-06-12;BOVV;200000892380;8;BVMF;118.62;118.3;119.33;118.93;0.0028;118.93;118.87;118.59;I
2023-06-12;BOVX;200000623456;8;BVMF;11.78;11.75;11.85;11.81;0.0025;11.81;11.8;11.78;I
2023-06-12;BRAX;10016358;8;BVMF;97.14;96.85;97.69;97.37;0.0023;97.37;97.31;97.14;I
2023-06-12;BREW;200001070230;8;BVMF;114.79;114.64;115.65;115.41;0.0054;115.41;115.3;114.78;I
2023-06-12;BXPO;200000950776;8;BVMF;104.72;104.11;105.01;104.79;0.0008;104.79;104.64;104.7;I
2023-06-12;CMDB;200000740349;8;BVMF;11;10.9;11.02;11.01;0.0009;11.01;10.97;11;I
2023-06-12;DIVO;10016359;8;BVMF;78.16;77.72;78.63;78.45;0.0038;78.45;78.32;78.15;I
2023-06-12;ECOO;10016355;8;BVMF;101.39;101.39;102.35;102.06;0.0066;102.06;101.98;101.39;I
2023-06-12;ELAS;200000809536;8;BVMF;117.76;117.76;118.85;118.6;0.0072;118.6;118.44;117.75;I
2023-06-12;ESGB;200000479570;8;BVMF;105;104.92;105.91;105.67;0.0064;105.67;105.56;104.99;I
2023-06-12;FIND;10016351;8;BVMF;115.4;115.4;116.73;115.84;0.0038;115.84;116.05;115.39;I
2023-06-12;GENB;200000650043;8;BVMF;7.91;7.91;8.13;8.12;0.0265;8.12;8.07;7.91;I
2023-06-12;GOVE;10016363;8;BVMF;50.83;50.68;51.12;50.97;0.0029;50.97;50.93;50.82;I
2023-06-12;GURU;200000759079;8;BVMF;9.73;9.73;9.8;9.76;0.002;9.76;9.76;9.74;I
2023-06-12;HAPV;200000789398;8;BVMF;27.5;26.71;27.66;26.76;-0.023;26.76;27.24;27.39;I
2023-06-12;IBOB;200000650034;8;BVMF;94.85;94.6;95.43;95.11;0.0028;95.11;95.06;94.84;I
2023-06-12;ISUS;10016362;8;BVMF;35.49;35.49;35.88;35.78;0.0081;35.78;35.73;35.49;I
2023-06-12;ITUB;200000696021;8;BVMF;30.28;29.8;30.36;29.87;-0.0079;29.87;30.06;30.11;I
2023-06-12;MATB;10016368;8;BVMF;53.24;52.77;53.66;53.59;0.0065;53.59;53.35;53.24;I
2023-06-12;PIBB;10029577;8;BVMF;201.34;200.64;202.47;201.85;0.0027;201.85;201.69;201.29;I
2023-06-12;SCVB;200000950472;8;BVMF;94.78;94.31;95.26;95.12;0.0035;95.12;94.85;94.78;I
2023-06-12;SMAB;200000678169;8;BVMF;8.15;8.11;8.17;8.16;0.0012;8.16;8.14;8.15;I
2023-06-12;SMAC;200000366187;8;BVMF;56.45;56.17;56.62;56.51;0.001;56.51;56.44;56.45;I
2023-06-12;SMAL;10016383;8;BVMF;107.81;107.27;108.12;107.91;0.0011;107.91;107.79;107.79;I
2023-06-12;TECB;200001070949;8;BVMF;17;17;17.29;17.25;0.0147;17.25;17.17;17;I
2023-06-12;TRIG;200000723069;8;BVMF;41.24;41.01;41.45;41.36;0.0031;41.36;41.29;41.23;I
2023-06-12;XBOV;10016393;8;BVMF;114.74;114.44;115.43;115.05;0.0027;115.05;114.99;114.74;I
2023-06-12;XFIX;200000502965;8;BVMF;10.79;10.78;10.81;10.79;0;10.79;10.78;10.79;I
2023-06-12;XMAL;200000647361;8;BVMF;7.29;7.25;7.31;7.3;0.0013;7.3;7.28;7.29;I
